行号,号码,金额,状态,生效日期,失效日期,备注
1,57733801124681,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
2,32251075075318,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
3,78403006863812,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
4,53821161713540,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
5,80153181711043,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
6,36305102708546,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
7,11723276540275,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
8,47065287547777,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
9,32483362487416,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
10,68625273476010,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
11,05767203474413,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
12,80385368224141,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
13,26437388212644,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
14,11044454163362,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
15,47187474151865,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
16,74330484048368,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
17,68756560808006,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
18,05088570886500,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
19,70416555747237,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
20,26658565735731,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
21,53801585623234,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
22,37328651573862,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
23,74551671562465,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
24,58078746422103,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
25,85221766310606,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
26,32363776307100,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
27,16871852258827,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
28,43023762246321,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
29,37541847006050,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
30,64783857084553,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
31,01825878072055,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
32,85443043833784,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
33,22585064821287,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
34,16113138671825,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
35,43245150668428,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
36,70487160657822,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
37,64815245517650,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
38,01157155405153,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
39,75575231346771,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
40,22717241344374,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
41,58050261332777,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
42,33477336172515,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
43,70620356170018,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
44,54137422021746,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
45,81370442018240,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
46,37422452016643,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
47,12040537756471,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
48,48172447744874,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
49,32600523605612,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
50,60742533683115,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
51,06084553571518,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
52,81412628432337,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
53,27644648420730,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
54,11162714370568,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
55,48314734267062,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
56,75556645255565,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
57,60064720116203,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
58,06216731104606,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
59,70634815854434,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
60,02143238280252,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
61,86561304140880,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
62,23713324037483,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
63,16221480888122,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
64,44463410876524,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
65,71515330864127,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
66,65133405625746,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
67,02265425613340,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
68,75783581553077,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
69,23835511551471,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
70,50177521548074,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
71,33505606380612,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
72,71737616377215,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
73,54255782237843,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
74,82407702225346,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
75,38640623113840,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
76,12157787064577,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
77,40300718052171,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
78,33727873812708,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
79,61060804701302,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
80,07102814788705,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
81,81620080648433,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
82,28762000636036,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
83,12380175487664,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
84,40432085475267,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
85,76664015463661,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
86,60182171323300,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
87,07334101311802,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
88,71852266162531,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
89,28084286150134,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
90,55236206147526,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
91,38653372007255,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
92,66806382886758,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
93,50313467746486,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
94,87555377734080,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
95,24707307722483,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
96,17225463573221,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
97,45457483561624,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
98,38875558421352,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
99,65127578418855,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
100,03260580406358,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
101,58035415074012,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
102,32553571834740,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
103,60605501722243,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
104,53213666663872,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
105,80355586661474,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
106,27507506658877,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
107,11025672408606,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
108,48257682486100,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
109,32675767347837,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
110,68827777335331,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
111,06160707323734,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
112,80587863173562,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
113,27720883162065,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
114,01247058022703,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
115,47480878010206,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
116,58140064758437,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
117,06282074746831,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
118,70710150606658,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
119,16852160584152,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
120,54184181572555,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
121,37512255433383,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
122,64754276421786,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
123,58272341271524,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
124,85414262268027,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
125,23656282257521,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
126,16174357117250,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
127,43326377105652,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
128,37744443856481,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
129,64076463844884,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
130,85645558782115,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
131,22887468670518,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
132,06305544531346,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
133,43547554528740,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
134,71680574516343,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
135,54217640466071,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
136,01340660354574,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
137,75867735205212,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
138,12010755203615,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
139,50252765281218,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
140,33670841032846,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
141,60812751030440,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
142,54330836870167,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
143,81572846867561,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
144,28724867865164,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
145,12232032616702,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
146,48474053604305,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
147,33802127554034,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
148,60144148542436,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
149,07276158430030,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
150,81704234381668,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
151,27846144378262,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
152,02464228238800,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
153,48506230127483,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
154,75748250115886,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
155,50266325065524,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
156,06418345053127,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
157,71836411714755,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
158,17168431702358,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
159,54311441780752,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
160,38738426640480,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
161,65071436637083,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
162,50488512488621,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
163,86631522476224,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
164,23773542464627,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
165,17301617324345,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
166,38051703163576,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
167,65103723151170,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
168,02345634148573,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
169,86763718800311,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
170,23005728887714,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
171,07423804747443,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
172,44665814735046,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
173,02567021562671,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
174,76085185412308,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
175,13237116400802,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
176,50360026308305,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
177,34887102248133,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
178,61030112236536,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
179,55557287187264,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
180,82600207075767,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
181,28832227063261,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
182,13350383823008,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
183,40502313811402,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
184,34020478762230,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
185,61252408650633,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
186,07404318647136,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
187,82822484507854,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
188,28164404585357,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
189,03572570346186,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
190,76866510322082,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
191,51484675273721,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
192,07526605261224,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
193,72144771021052,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
194,18286681018455,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
195,45438612006858,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
196,30056776857686,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
197,66188707745180,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
198,51616862605817,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
199,87758883683311,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语
200,24001803671814,15.00,已发放,2015-04-27,2015-05-31,母亲节15元抵扣券-康语